File name,Color,Polymer,Matching
AI58_5_29.csv,transparent,PE,0.86
AI58_5_30.csv,white,PE,0.97
AI58_5_31.csv,transparent,PP,0.88
AI58_5_32.csv,transparent,PE,0.98
AI58_5_33.csv,transparent,PE,0.95
AI58_5_34.csv,transparent,PE,0.96
AI58_5_35.csv,transparent,PE,0.96
AI58_5_36.csv,white,PE,0.97
AI58_5_37.csv,white,PE,0.97
AI58_5_38.csv,transparent,PE,0.94
AI58_5_39.csv,transparent,PE,0.94
AI58_5_40.csv,white,PE,0.97
AI58_5_41.csv,transparent,PE,0.95
AI58_5_42.csv,transparent,PE,0.95
AI58_5_43.csv,transparent,PE,0.93
AI58_5_44.csv,transparent,PE,0.95
AI58_5_45.csv,transparent,PE,0.94
AI58_5_46.csv,transparent,PE,0.95
AI58_5_47.csv,transparent,PE,0.98
AI58_5_48.csv,transparent,PE,0.91
AI58_5_49.csv,transparent,PE,0.97
AI58_5_50.csv,white,PE,0.96
AI58_5_51.csv,transparent,PE,0.97
AI58_5_52.csv,transparent,PE,0.96
AI58_5_53.csv,transparent,PE,0.95
AI58_5_54.csv,transparent,PP,0.95
AI58_5_55.csv,transparent,PE,0.98
AI58_5_56.csv,transparent,PE,0.96
AI58_5_57.csv,transparent,PE,0.89
AI58_5_58.csv,white,PE,0.97
AI58_5_59.csv,white,PE,0.98
AI58_5_60.csv,white,PP,0.93
AI58_5_62.csv,black,PE,0.8
AI58_5_63.csv,black,PP,0.87
AI58_5_64.csv,black,PE,0.97
AI58_5_65.csv,black,PE,0.95
AI58_5_66.csv,black,PE,0.94
AI58_5_67.csv,black,PP,0.95
AI58_5_68.csv,black,PE,0.98
AI58_5_69.csv,green,PE,0.98
AI58_5_70.csv,black,PE,0.98
AI58_5_71.csv,gray,PE,0.98
AI58_5_72.csv,gray,PE,0.98
AI58_5_73.csv,gray,PE,0.97
AI58_5_74.csv,gray,PE,0.97
AI58_5_75.csv,gray,PE,0.99
AI58_5_76.csv,gray,PE,0.98
AI58_5_77.csv,gray,PE,0.97
AI58_5_78.csv,transparent,PE,0.96
AI58_5_79.csv,transparent,PE,0.97
AI58_5_80.csv,transparent,PE,0.96
AI58_5_81.csv,transparent,PE,0.9
AI58_5_82.csv,transparent,PE,0.97
AI58_5_83.csv,transparent,PE,0.98
AI58_5_84.csv,transparent,PE,0.96
AI58_5_85.csv,transparent,PE,0.98
AI58_5_86.csv,transparent,PE,0.95
AI58_5_87.csv,transparent,PE,0.96
AI58_5_88.csv,transparent,PE,0.97
AI58_5_90.csv,transparent,PE,0.97
AI58_5_91.csv,transparent,PE,0.98
AI58_5_92.csv,transparent,PP,0.89
AI58_5_93.csv,transparent,PE,0.95
AI58_5_94.csv,transparent,PE,0.97
AI58_5_95.csv,transparent,PE,0.97
AI58_5_96.csv,transparent,PE,0.97
AI58_5_97.csv,transparent,PE,0.9
AI58_5_98.csv,transparent,PE,0.98
AI58_5_99.csv,transparent,PE,0.97
AI58_5_100.csv,white,PE,0.97
AI58_5_102.csv,transparent,PE,0.98
AI58_5_103.csv,transparent,PP,0.94
AI58_5_104.csv,transparent,PE,0.97
AI58_5_105.csv,transparent,PE,0.97
AI58_5_106.csv,transparent,PE,0.88
AI58_5_107.csv,transparent,PE,0.98
AI58_5_108.csv,transparent,PE,0.96
AI58_5_109.csv,transparent,PE,0.97
AI58_5_110.csv,white,PE,0.97
AI58_5_112.csv,transparent,PE,0.98
AI58_5_113.csv,transparent,PE,0.88
AI58_5_114.csv,transparent,PE,0.97
AI58_5_115.csv,transparent,PE,0.98
AI58_5_116.1.csv,transparent,PE,0.97
AI58_5_117.csv,transparent,PE,0.75
AI58_5_118.csv,transparent,PE,0.98
AI58_5_119.csv,transparent,PE,0.97
AI58_5_120.csv,white,PP,0.96
AI58_5_121.csv,transparent,PE,0.94
AI58_5_122.csv,transparent,PE,0.97
AI58_5_123.csv,transparent,PE,0.97
AI58_5_124.csv,transparent,PE,0.94
AI58_5_125.csv,transparent,PE,0.98
AI58_5_126.csv,transparent,PE,0.97
AI58_5_127.csv,transparent,PE,0.96
AI58_5_129.csv,transparent,PE,0.98
AI58_5_130.csv,white,PP,0.97
AI58_5_131.csv,transparent,PE,0.98
AI58_5_132.csv,transparent,PE,0.71
AI58_5_133.csv,transparent,PP,0.95
AI58_5_134.csv,transparent,PE,0.98
AI58_5_135.csv,transparent,PE,0.97
AI58_5_136.csv,transparent,PE,0.97
AI58_5_137.csv,transparent,PE,0.97
AI58_5_138.csv,transparent,PE,0.97
AI58_5_139.csv,transparent,PE,0.98
AI58_5_140.csv,white,PE,0.87
AI58_5_141.csv,transparent,PE,0.96
AI58_5_142.csv,transparent,PE,0.98
AI58_5_143.csv,transparent,PE,0.97
AI58_5_144.csv,transparent,PE,0.97
AI58_5_145.csv,transparent,PE,0.88
AI58_5_146.csv,transparent,PE,0.97
AI58_5_147.csv,white,PP,0.85
AI58_5_148.csv,white,PE,0.97
AI58_5_149.csv,white,PE,0.94
AI58_5_150.csv,white,PE,0.98
AI58_5_151.csv,green,PP,0.96
AI58_5_152.csv,black,PP,0.92
AI58_5_153.csv,transparent,PP,0.96
AI58_5_154.csv,green,PP,0.95
AI58_5_155.csv,green,PP,0.96
AI58_5_156.csv,black,PP,0.86
AI58_5_157.csv,green,PP,0.93
AI58_5_158.1.csv,green,PP,0.95
AI58_5_159.csv,green,PE,0.95
AI58_5_160.csv,green,PP,0.9
AI58_5_161.csv,green,PP,0.95
AI58_5_163.csv,green,PP,0.9
AI58_5_164.csv,black,PP,0.96
AI58_5_165.csv,black,PP,0.95
AI58_5_166.csv,black,PP,0.94
AI58_5_167.csv,transparent,PE,0.98
AI58_5_168.csv,green,PP,0.83
AI58_5_169.csv,transparent,PP,0.95
AI58_5_170.csv,green,PP,0.95
AI58_5_171.csv,black,PP,0.86
AI58_5_172.csv,green,PP,0.96
AI58_5_173.csv,green,PP,0.96
AI58_5_174.csv,brown,PP,0.9
AI58_5_176.csv,gray,PP,0.83
AI58_5_180.csv,green,PE,0.89
AI58_5_181.csv,transparent,PE,0.96
AI58_5_182.csv,transparent,PE,0.97
AI58_5_183.csv,transparent,PE,0.97
AI58_5_184.csv,transparent,PE,0.95
AI58_5_185.csv,transparent,PE,0.97
AI58_5_186.csv,transparent,PE,0.95
AI58_5_187.csv,transparent,PE,0.96
AI58_5_188.1.csv,transparent,PP,0.9
AI58_5_190.csv,gray,PE,0.94
AI58_5_192.csv,transparent,PP,0.86
AI58_5_193.csv,transparent,PE,0.94
AI58_5_194.csv,transparent,PE,0.96
AI58_5_195.csv,transparent,PE,0.97
AI58_5_196.csv,transparent,PP,0.91
